ID,Edad,Ingreso_Anual,Género,Nivel_Educativo,Estado_Civil,Num_Hijos,Propietario_Vivienda,Compra_Realizada
63,19,,M,Bachillerato,Divorciado,4,Sí,No
64,23,Null,M,nan,Divorciado,0,No,No
65,59,55077.25765192536,F,Maestría,Divorciado,0,Sí,No
66,21,45568.97884791456,F,Bachillerato,Soltero,3,No,No
67,46,52526.91464404421,F,Maestría,Casado,1,No,No
68,35,69763.9630341194,M,Universitario,nan,1,No,No
69,43,34901.86152080538,F,Universitario,Divorciado,3,No,Sí
70,61,67098.17841693568,n,Maestría,Soltero,0,No,Sí
71,51,69756.72601009798,F,Universitario,Soltero,0,Sí,No
72,27,48228.97209513382,n,Universitario,nan,0,No,Sí
73,53,18172.17651487108,n,Bachillerato,Soltero,4,No,Sí
74,31,40882.670193583515,M,Bachillerato,Divorciado,2,Sí,No
75,48,69454.91819841664,M,Bachillerato,Divorciado,0,No,Sí
76,32,,F,nan,Soltero,2,Sí,No
77,25,35010.466515576336,n,Maestría,Divorciado,2,No,Sí
78,31,42428.376181576736,M,Universitario,Casado,1,Sí,No
79,40,62609.300397568295,M,Bachillerato,Divorciado,3,No,Sí
80,57,58201.00352302069,M,Maestría,Soltero,4,No,No
81,38,46416.01851245458,n,Maestría,Casado,2,No,Sí
82,33,,M,Bachillerato,Divorciado,4,No,Sí
83,62,44123.62776434267,M,Maestría,Casado,1,No,Sí
84,35,36163.84723252246,F,Bachillerato,Soltero,0,Sí,No
85,64,74230.63534204163,M,Universitario,Divorciado,2,Sí,No
86,41,45165.192961829904,M,Universitario,nan,3,No,Sí
87,43,68257.37781238244,F,Universitario,Casado,1,Sí,Sí
88,42,72819.74077883677,F,Bachillerato,Divorciado,4,No,No
89,62,64974.66347221941,F,Maestría,Divorciado,0,No,Sí
90,58,43525.695309229275,F,Universitario,Divorciado,4,No,Sí
91,46,56055.95135504914,M,Universitario,Divorciado,3,Sí,No
92,32,49637.06590413626,F,Universitario,Soltero,2,No,No
93,62,36444.47208904808,F,Maestría,Divorciado,3,Sí,Sí
94,18,54865.389225824045,M,Maestría,Casado,4,No,No
95,42,32314.40313260296,M,Bachillerato,Soltero,4,No,Sí
96,24,67815.19082692346,n,Universitario,Casado,3,Sí,Sí
97,26,,F,Maestría,Casado,3,No,No
98,41,53017.39483809259,M,Bachillerato,Casado,3,Sí,Sí
99,18,54249.31807319213,F,Universitario,Soltero,0,No,No
100,61,46116.42539443884,M,Maestría,Soltero,4,No,No
101,25,,M,nan,Soltero,1,No,Sí
102,41,42876.44515066213,F,Bachillerato,Divorciado,0,Sí,No
103,28,63069.45946185866,M,Universitario,Casado,0,No,Sí
104,34,29810.304796298773,n,Universitario,Soltero,0,Sí,No
105,25,51895.693693196175,M,Maestría,Casado,1,No,Sí
106,52,79083.93498587428,M,Universitario,Soltero,3,No,No
107,52,34995.03013091638,M,Bachillerato,Soltero,4,Sí,Sí
108,50,39833.82544212723,F,Maestría,nan,2,No,Sí
109,22,57708.617744883726,F,Maestría,Casado,2,No,No
110,59,52693.72672909397,M,Bachillerato,Divorciado,4,Sí,Sí
111,56,55259.45148910339,F,Maestría,Soltero,1,Sí,Sí
112,58,57337.80695221495,F,nan,Soltero,2,Sí,Sí
113,45,59520.82202842655,F,Universitario,Soltero,0,No,Sí
114,24,66645.49762934334,M,Maestría,Divorciado,2,Sí,Sí
115,26,56147.279853927685,M,Bachillerato,Casado,4,Sí,Sí
116,25,46381.13518072186,n,Bachillerato,Casado,0,No,No
117,29,,F,Universitario,Casado,2,Sí,No
118,51,78498.22902342823,n,Bachillerato,Casado,4,Sí,No
119,50,48010.493804261394,M,Maestría,nan,1,No,No
120,40,35382.06042994038,M,Maestría,Divorciado,4,Sí,Sí
121,41,,F,Universitario,Soltero,1,No,Sí
122,54,48194.282540696026,F,Universitario,Divorciado,0,Sí,No
123,52,17409.95680978946,M,nan,nan,4,Sí,Sí
124,61,62711.325157256324,F,Bachillerato,Divorciado,3,No,No
125,57,41970.07721069116,F,Maestría,Soltero,3,Sí,Sí
126,39,48642.00076543759,F,Maestría,Soltero,3,No,Sí
127,44,54979.70495853522,F,Maestría,Casado,3,Sí,No
128,52,52857.495196685995,n,Universitario,nan,3,Sí,Sí
129,18,60641.77725708559,n,Maestría,Soltero,1,No,No
130,52,43467.70444145235,F,Bachillerato,Divorciado,4,No,No
131,54,57696.58697264124,M,Bachillerato,Soltero,0,Sí,No
132,64,,M,Maestría,Casado,3,Sí,Sí
133,31,61082.157213312545,F,Universitario,Casado,3,Sí,Sí
134,20,,F,nan,Soltero,0,No,No
135,18,35968.41946933107,F,Bachillerato,Casado,0,No,Sí
136,22,66289.73174262549,M,Bachillerato,Divorciado,3,Sí,No
137,43,41960.54832328928,M,Bachillerato,Divorciado,1,Sí,No
138,31,62120.86697421718,F,Maestría,Soltero,0,Sí,Sí
139,56,,n,Bachillerato,Soltero,4,No,No
140,44,77572.75515192683,F,Universitario,Divorciado,4,Sí,Sí
141,26,46648.01026442222,F,Maestría,Casado,1,No,Sí
142,32,44760.24805822704,F,Maestría,Soltero,2,No,Sí
143,32,49708.70591168401,F,Bachillerato,Soltero,1,Sí,No
144,43,45452.303257485866,F,Bachillerato,Casado,3,No,No
145,59,61999.12852913075,F,Universitario,Soltero,2,No,Sí
146,30,25755.34087345118,F,Maestría,Casado,3,Sí,Sí
147,49,34194.76371280469,M,nan,Casado,4,Sí,No
148,56,33982.9561763121,F,Universitario,nan,0,Sí,Sí
149,49,64254.61387960364,n,Bachillerato,Casado,3,Sí,Sí
150,21,75659.20058872888,F,Maestría,nan,4,Sí,No
151,47,48433.261721937924,F,Bachillerato,Divorciado,1,Sí,No
152,54,47467.67415214984,M,Maestría,Casado,3,Sí,No
153,40,,M,Bachillerato,Divorciado,4,No,Sí
154,56,67428.17453912286,F,Maestría,Casado,0,Sí,No
155,62,36089.70298714139,M,Universitario,Soltero,3,Sí,No
156,32,53575.53474102178,F,nan,Divorciado,4,Sí,No
157,60,64627.96444673645,F,Universitario,Soltero,3,Sí,No
158,46,,M,Maestría,Casado,0,Sí,No
159,53,52843.724248981154,M,Universitario,Casado,3,Sí,No
160,30,65015.69138850712,M,Bachillerato,Soltero,3,No,No
161,49,9451.515605011446,M,Maestría,Casado,4,Sí,Sí
162,24,60168.12979296361,F,Bachillerato,Soltero,2,No,No
163,39,40188.864753088645,M,Universitario,Casado,3,Sí,Sí
164,45,22540.506547153145,M,Maestría,Casado,2,No,Sí
165,19,57668.03899287471,n,Maestría,Divorciado,1,No,No
166,59,,M,Bachillerato,Soltero,3,No,Sí
167,62,47938.27228058462,M,Maestría,Casado,2,Sí,No
168,23,64293.118208044085,F,Maestría,Soltero,1,Sí,Sí
169,45,74184.17386982968,F,Bachillerato,Divorciado,4,Sí,No
170,45,69723.7168037607,M,Maestría,Soltero,3,Sí,Sí
171,61,74599.46794057089,M,Bachillerato,Divorciado,4,Sí,No
172,61,61131.91236607838,F,Bachillerato,Soltero,1,Sí,No
173,37,,M,Bachillerato,nan,4,No,Sí
174,47,25970.512821542474,F,Bachillerato,Divorciado,4,No,Sí
175,28,46309.062678050774,F,Bachillerato,Casado,0,No,No
176,45,,M,Universitario,Casado,1,Sí,Sí
177,42,82564.1407624672,F,Universitario,Casado,4,Sí,No
178,56,47361.712813514954,M,Bachillerato,Soltero,2,No,Sí
179,50,51848.072101767284,M,Universitario,Soltero,1,Sí,No
180,18,58272.280640607016,F,Universitario,Casado,0,Sí,Sí
181,44,50654.03669558681,F,Maestría,Soltero,3,Sí,No
182,30,75425.7656064613,M,Bachillerato,Soltero,4,No,Sí
183,58,40660.25957398322,F,nan,Casado,2,No,No
184,20,52919.11182855864,M,Maestría,Divorciado,0,Sí,Sí
185,56,38862.94121452927,F,Maestría,Soltero,1,No,No
186,23,30199.662331689415,F,Bachillerato,Soltero,4,No,Sí
187,25,40823.46363642072,M,Bachillerato,Soltero,0,Sí,Sí
188,44,49444.44804427382,M,Maestría,Soltero,0,Sí,No
189,26,43560.4666322411,M,nan,nan,2,No,Sí
190,54,39613.68530189216,n,Bachillerato,Casado,3,No,Sí
191,50,28905.23804492249,M,Maestría,nan,3,Sí,No
192,59,48753.41641056958,M,Maestría,Casado,3,Sí,No
193,61,27429.194389534965,F,Bachillerato,Soltero,1,Sí,No
194,41,61400.83945534404,F,Universitario,Divorciado,0,No,No
195,32,51236.59629401755,M,Bachillerato,Casado,1,No,Sí
196,49,28136.72750802604,M,Universitario,Divorciado,0,Sí,Sí
197,49,45361.863844252046,M,nan,Soltero,2,Sí,Sí
198,41,38717.65391614125,M,Universitario,Divorciado,2,Sí,No
199,58,54787.61765628771,F,Maestría,Divorciado,1,Sí,Sí
200,29,70106.75669034716,F,Bachillerato,Soltero,1,No,Sí
201,56,21872.41295531383,n,Bachillerato,Soltero,2,Sí,No
202,19,51725.39118721126,M,Maestría,Casado,4,Sí,Sí
203,20,,n,Maestría,Soltero,3,No,Sí
204,54,60070.101146756984,F,Maestría,Casado,3,Sí,No
205,34,53197.94942356534,M,Bachillerato,Divorciado,2,No,Sí
206,19,38720.460023917716,M,Bachillerato,Divorciado,3,No,No
207,19,45214.19096500073,F,Universitario,Casado,4,No,No
208,45,38059.612147947664,F,nan,Soltero,4,Sí,Sí
209,40,66140.10707897898,M,Universitario,Soltero,0,No,Sí
210,54,,M,Bachillerato,Divorciado,1,Sí,Sí
211,49,78517.86028629511,F,Universitario,Casado,3,No,No
212,50,49090.08779278069,M,nan,Divorciado,4,No,No
213,18,39373.898496343056,M,Bachillerato,Divorciado,1,No,Sí
214,36,27294.28411080759,F,Bachillerato,nan,1,Sí,Sí
215,19,,F,Maestría,Casado,0,Sí,No
216,61,26237.960854917652,F,Universitario,Divorciado,1,No,Sí
217,43,54006.89976517225,n,nan,Soltero,1,Sí,Sí
218,49,,F,Bachillerato,Divorciado,2,No,No
219,23,26282.139469518,F,Universitario,nan,0,No,Sí
220,49,63425.57471114173,M,nan,Soltero,0,No,Sí
221,21,42754.08422474841,n,Maestría,Soltero,3,No,Sí
222,28,52201.89517978324,F,Maestría,Casado,1,Sí,Sí
223,34,74183.30942383136,F,Universitario,Divorciado,3,No,No
224,55,63452.58973798298,M,Maestría,Casado,4,Sí,No
225,41,45972.04028141251,M,Bachillerato,nan,1,No,No
226,22,36632.11661877069,F,Bachillerato,Soltero,4,No,No
227,51,17722.768980060428,F,Bachillerato,Divorciado,2,No,Sí
228,23,39212.7002113637,M,Bachillerato,Casado,1,No,Sí
229,39,46833.046417584585,F,Universitario,Casado,3,No,Sí
230,28,35192.30709273224,M,nan,Divorciado,3,Sí,Sí
231,33,48031.145493615426,F,Maestría,nan,1,Sí,No
232,50,51152.77824438152,M,Bachillerato,Casado,3,No,Sí
233,26,46627.16027287882,M,Universitario,nan,1,Sí,Sí
234,23,40249.961287648104,F,Bachillerato,nan,0,Sí,No
235,33,52529.82007950092,F,Bachillerato,Divorciado,3,No,No
236,46,56629.109743541136,n,Universitario,Casado,1,No,No
237,20,33644.01383835731,F,Universitario,Casado,1,No,Sí
238,37,71163.98569619405,F,Bachillerato,Casado,3,No,No
239,53,48521.17801573608,F,Maestría,Soltero,0,Sí,Sí
240,36,50282.744344172716,M,Bachillerato,Soltero,3,Sí,Sí
241,43,60623.21634884836,F,Maestría,Casado,1,Sí,No
242,20,,F,Maestría,Casado,0,Sí,No
243,36,64297.04950869868,M,Universitario,Divorciado,4,No,No
244,37,54306.86247802736,F,Universitario,Divorciado,2,No,Sí
245,49,40813.43938039343,F,Bachillerato,Casado,3,No,Sí
246,24,55422.55287809153,M,Maestría,Casado,1,No,Sí
247,58,32844.10689019007,M,Maestría,nan,0,Sí,No
248,50,,F,Bachillerato,nan,0,Sí,Sí
249,57,49501.550140333085,F,Bachillerato,Divorciado,4,No,Sí
250,56,46878.2471409119,M,Bachillerato,Soltero,3,Sí,Sí
251,35,48071.93732841604,M,Universitario,Divorciado,0,Sí,Sí
252,57,21772.264317535413,n,Bachillerato,Divorciado,4,No,No
253,18,41769.12638388558,F,nan,Soltero,1,Sí,Sí
254,28,51392.673517116724,F,Maestría,Divorciado,4,No,No
255,45,52397.84587996101,M,Bachillerato,Casado,3,Sí,No
256,42,34584.87288611063,F,Maestría,Divorciado,4,Sí,Sí
257,40,68985.61761297051,M,Maestría,Soltero,0,No,Sí
258,48,37007.377276782485,M,Universitario,nan,0,No,No
259,47,64541.85800790105,n,nan,Soltero,2,No,Sí
260,59,56407.91542807527,F,Bachillerato,Divorciado,4,Sí,No
261,52,40306.59035234295,F,Maestría,Casado,1,No,Sí
262,24,76629.66338914268,F,Universitario,nan,3,Sí,Sí
263,33,32095.447523652798,M,nan,Casado,2,No,No
264,43,63787.31260415002,n,Bachillerato,Soltero,4,Sí,Sí
265,19,65008.734770644674,M,Maestría,Casado,1,No,No
266,18,39940.69686385033,M,Bachillerato,Casado,2,No,No
267,29,70886.97950096492,M,Bachillerato,Casado,0,Sí,Sí
268,22,46249.302281015705,M,Bachillerato,Soltero,3,Sí,No
269,54,,n,Bachillerato,Divorciado,4,No,Sí
270,49,53904.82758156831,M,Maestría,Divorciado,1,Sí,Sí
271,26,47985.368877941786,F,Universitario,Divorciado,0,No,Sí
272,58,62162.124097396736,M,Bachillerato,Casado,2,Sí,No
273,52,61902.33080828319,F,Bachillerato,Soltero,3,Sí,Sí
274,36,23772.02040142729,M,Bachillerato,Casado,2,No,Sí
275,33,69565.10364317229,n,Bachillerato,nan,2,No,No
276,20,,F,Universitario,Casado,1,Sí,No
277,37,65488.19306512486,F,Universitario,Soltero,0,Sí,No
278,41,,F,Universitario,Soltero,4,Sí,No
279,50,33635.50354677203,M,Universitario,Soltero,1,Sí,Sí
280,41,,M,Bachillerato,Casado,3,No,Sí
281,28,33414.42997271096,M,Maestría,nan,2,No,Sí
282,25,46776.18454566897,M,Universitario,Casado,3,Sí,Sí
283,53,45379.48573721388,F,Universitario,Casado,1,No,No
284,55,,F,Bachillerato,Soltero,1,Sí,No
285,57,69654.63119179412,F,Bachillerato,Soltero,4,Sí,Sí
286,37,70935.25716184934,M,Bachillerato,Divorciado,2,Sí,No
287,52,41567.47960132547,F,Bachillerato,Divorciado,1,No,No
288,42,,M,Maestría,Soltero,3,Sí,No
289,52,24748.427116685747,F,nan,Divorciado,4,No,No
290,42,37911.94900255717,F,Universitario,Divorciado,3,No,No
291,46,64472.77449646186,F,Maestría,Soltero,2,Sí,Sí
292,35,74233.74235322347,F,nan,Casado,4,No,Sí
293,63,31484.76692180117,F,Universitario,Divorciado,4,Sí,No
294,35,41113.036112706584,M,Maestría,Soltero,4,Sí,No
295,19,49603.91364561609,F,Universitario,Divorciado,0,No,Sí
296,52,54202.4173822941,M,Bachillerato,Divorciado,4,Sí,Sí
297,33,37855.94720117531,M,Universitario,Soltero,3,No,No
298,58,56360.915666961344,M,Bachillerato,Divorciado,3,No,No
299,53,42892.409793936255,M,Maestría,Divorciado,2,No,No
300,50,49783.215936825814,M,Maestría,Divorciado,1,Sí,Sí
301,21,58194.26372005549,M,Universitario,Casado,1,No,No
302,50,50096.33404716407,M,Bachillerato,nan,0,Sí,No
303,31,43454.21164210147,M,Universitario,Divorciado,4,Sí,No
304,38,48355.852941112535,F,Maestría,Soltero,0,No,No
305,37,48674.55561191997,F,Universitario,Divorciado,2,No,No
306,25,44449.83455176809,M,Universitario,nan,2,Sí,No
307,24,46118.059059993466,M,Bachillerato,nan,1,No,No
308,20,73979.70755757076,M,Maestría,Casado,2,No,No
309,34,58413.791719118584,n,Universitario,Casado,4,No,Sí
310,50,45567.795229562595,F,nan,Divorciado,3,Sí,Sí
311,29,60454.316067661035,M,Universitario,nan,2,No,Sí
312,39,44992.70765365985,n,Bachillerato,Soltero,0,Sí,No
313,39,67596.86956379961,F,Bachillerato,Divorciado,4,Sí,Sí
314,63,55544.63288297141,F,Universitario,Divorciado,2,No,Sí
315,47,,M,Maestría,Casado,2,No,Sí
316,55,56715.75388715416,M,nan,Casado,4,Sí,Sí
317,55,26436.85771897251,M,Bachillerato,Casado,2,Sí,Sí
318,62,33098.48796635292,M,Maestría,Casado,3,No,No
319,25,32091.12490401417,F,Bachillerato,Casado,1,Sí,Sí
320,44,52144.1464214556,F,nan,Soltero,4,No,No
321,44,75987.72499227637,M,Universitario,Soltero,0,Sí,No
322,51,83469.50219288949,M,Maestría,Soltero,2,No,Sí
323,38,59570.76652161136,M,Bachillerato,Casado,1,Sí,No
324,47,,F,Bachillerato,Casado,0,No,Sí
325,50,22984.133987708916,M,Maestría,Casado,0,No,No
326,45,41859.89300398967,n,Universitario,Soltero,3,Sí,No
327,64,38183.24372137642,M,Bachillerato,Casado,1,No,Sí
328,50,40687.28602623326,F,Bachillerato,Soltero,4,Sí,No
329,22,,M,Bachillerato,Casado,1,Sí,No
330,36,42918.64133454309,F,Bachillerato,Divorciado,1,Sí,No
331,21,20310.502844363185,M,Bachillerato,nan,0,Sí,No
332,52,61218.65384176301,M,Universitario,Divorciado,3,No,No
333,34,33908.854613902906,M,Maestría,Soltero,3,Sí,No
334,61,53588.702961667244,F,Universitario,Casado,1,Sí,No
335,45,81111.2400462496,M,Universitario,Casado,1,Sí,No
336,47,36209.23112620365,M,Bachillerato,Divorciado,2,No,Sí
337,46,12045.687158805056,F,Universitario,Casado,0,Sí,No
338,63,45709.936671798336,F,Bachillerato,Soltero,4,No,Sí
339,23,66514.39452497856,F,Universitario,nan,4,No,Sí
340,52,79375.21181330891,M,nan,nan,3,Sí,No
341,58,,F,Bachillerato,Soltero,0,No,No
342,54,57450.48834854783,M,Universitario,Divorciado,3,Sí,Sí
343,41,43020.3431482992,n,Universitario,Divorciado,4,No,Sí
344,46,48410.774685437966,F,Maestría,Casado,1,No,Sí
345,63,89665.15020525552,F,Maestría,Soltero,0,Sí,No
346,48,27455.4450740727,M,Maestría,Divorciado,0,No,No
347,52,53806.094922418604,M,Universitario,Divorciado,2,Sí,No
348,50,57015.3975764815,M,Universitario,Casado,1,No,Sí
349,38,66286.7948740902,M,nan,Soltero,1,Sí,No
350,49,51469.747302063435,M,Maestría,nan,3,Sí,No
351,40,54620.75809256153,M,nan,Casado,0,Sí,No
352,50,44125.271488673134,n,Bachillerato,nan,3,Sí,No
353,20,54036.90411867661,M,Bachillerato,Casado,1,No,Sí
354,35,44852.11586753884,M,Bachillerato,Casado,2,Sí,No
355,42,59323.57834784076,F,Maestría,Divorciado,0,Sí,No
356,59,44455.84495934549,n,Bachillerato,Soltero,1,Sí,Sí
357,48,55656.505908532796,M,Universitario,Casado,2,Sí,No
358,20,49561.057794725326,M,Universitario,Casado,4,No,Sí
359,57,66890.75376158251,n,Universitario,Divorciado,1,Sí,Sí
360,63,49229.094146172705,n,Maestría,Casado,4,No,No
361,41,23404.512976896778,F,Bachillerato,Casado,3,Sí,Sí
362,49,68928.82251070987,F,Maestría,Soltero,4,Sí,No
363,64,36414.015487060715,M,Bachillerato,Casado,1,Sí,Sí
364,39,40193.504920267704,F,Maestría,nan,4,Sí,Sí
365,40,41065.08058934762,F,Maestría,Soltero,0,Sí,No
366,19,70616.57139756226,M,Bachillerato,Divorciado,1,Sí,Sí
367,44,17964.886790319568,M,Maestría,Soltero,2,No,No
368,59,97066.22800489991,M,Bachillerato,Soltero,4,No,No
369,19,65840.85213599078,M,Universitario,Casado,0,Sí,No
370,43,53348.5837119374,F,Universitario,nan,3,Sí,No
371,34,49176.5899907557,M,Universitario,Casado,3,Sí,Sí
372,57,54283.311122864856,F,Maestría,Divorciado,4,No,No
373,50,57816.836425690075,M,Universitario,Casado,3,Sí,Sí
374,26,59678.23378925085,F,Bachillerato,Casado,2,No,No
375,60,58334.066990051724,n,Universitario,Soltero,1,No,Sí
376,56,51343.71021882873,n,Universitario,Casado,0,No,Sí
377,46,47039.923695390105,F,Maestría,Casado,4,No,Sí
378,59,47730.90074519732,F,Bachillerato,Casado,3,No,Sí
379,43,47076.375794709784,F,Maestría,Casado,1,Sí,No
380,52,67006.55145300596,M,Maestría,Soltero,2,No,No
381,42,58903.35083421293,F,Bachillerato,Casado,3,No,Sí
382,41,5894.170480035798,F,Maestría,nan,3,Sí,Sí
383,30,59838.51164794641,F,Bachillerato,Divorciado,0,Sí,No
384,24,52921.04292078162,F,Universitario,Casado,2,No,Sí
385,53,49719.36865331154,F,Bachillerato,Casado,2,Sí,Sí
386,62,44172.22320366671,F,Bachillerato,Casado,4,Sí,No
387,37,66861.6907997902,F,Bachillerato,Soltero,0,Sí,Sí
388,18,64212.89693184287,F,Maestría,Casado,4,No,Sí
389,25,38406.834982645865,F,Bachillerato,Casado,0,No,No
390,63,56105.78430686802,M,Bachillerato,Divorciado,2,Sí,Sí
391,33,35425.14898188071,M,Bachillerato,Soltero,0,Sí,No
392,31,29305.727528166044,F,Universitario,Soltero,0,No,No
393,29,40599.24163115052,M,Bachillerato,Divorciado,0,No,No
394,40,62935.902085741385,M,Maestría,Soltero,1,Sí,No
395,32,64296.8756806413,F,Bachillerato,nan,1,No,Sí
396,45,57696.28130145939,n,Bachillerato,Casado,2,No,No
397,51,,n,Universitario,Divorciado,0,Sí,No
398,19,57742.67430672437,F,Bachillerato,Soltero,2,Sí,Sí
399,49,,F,Maestría,Soltero,1,No,No
400,40,56478.83817010911,F,Bachillerato,Soltero,0,No,Sí
401,39,62006.14287841524,M,Maestría,Divorciado,4,No,No
402,42,61314.36994720361,n,Universitario,Casado,1,Sí,No
403,39,67833.70057211965,M,Bachillerato,Divorciado,1,Sí,No
404,39,60624.55770801596,F,Universitario,Casado,1,Sí,No
405,59,55271.72311312374,F,Bachillerato,Divorciado,0,Sí,Sí
406,23,66052.25357474641,M,Maestría,Casado,3,No,Sí
407,32,49602.1811112641,F,Universitario,Soltero,4,Sí,Sí
408,60,36771.88023158423,F,Bachillerato,nan,4,Sí,No
409,54,47553.99554084354,M,nan,Soltero,2,No,No
410,50,38826.46032790326,F,Universitario,Divorciado,0,Sí,No
411,25,39872.325875384275,M,Bachillerato,Divorciado,1,No,Sí
412,61,47832.219939267234,F,nan,Divorciado,3,Sí,No
413,61,,F,nan,Soltero,0,No,Sí
414,22,45380.5770554144,n,Maestría,Casado,0,No,Sí
415,56,21595.779995693214,n,Maestría,Soltero,3,No,Sí
416,21,53199.405610594076,M,Universitario,Soltero,1,Sí,No
417,23,50018.082130433366,M,Universitario,Casado,0,No,No
418,62,37743.67053397714,M,Bachillerato,Casado,4,Sí,No
419,49,59888.68502648608,F,Maestría,Casado,4,Sí,No
420,47,64063.55206439838,F,Bachillerato,Casado,3,Sí,Sí
421,64,25886.602034465388,M,Maestría,Soltero,1,Sí,Sí
422,52,38559.12832150679,F,Universitario,Divorciado,3,Sí,No
423,57,,F,Bachillerato,Soltero,0,Sí,No
424,33,35901.45348336703,F,nan,Casado,4,No,No
425,30,62442.12262897623,n,Maestría,Divorciado,2,No,Sí
426,59,47092.60791840795,F,Maestría,Divorciado,3,Sí,No
427,47,46032.27738034084,M,Maestría,Soltero,2,Sí,Sí
428,36,19942.064533898698,F,Universitario,Soltero,2,Sí,Sí
429,34,,F,Bachillerato,Soltero,4,Sí,Sí
430,36,31411.12407719791,M,Maestría,Divorciado,3,Sí,Sí
431,45,50898.989453994924,F,Universitario,Divorciado,2,No,Sí
432,43,54160.654069372875,M,Maestría,Divorciado,0,No,Sí
433,54,70409.87893757976,F,Bachillerato,Casado,1,Sí,Sí
434,43,30367.69401321332,M,Maestría,Casado,1,Sí,No
435,40,4707.317662687623,F,Bachillerato,Soltero,4,No,No
436,26,52757.743171305425,n,Universitario,Divorciado,3,Sí,No
437,29,77007.66772266281,F,Universitario,Soltero,3,Sí,Sí
438,18,,M,Maestría,nan,1,Sí,Sí
439,18,53144.891229119385,M,Bachillerato,Soltero,0,No,No
