ID,Edad,Ingreso_Anual,Género,Nivel_Educativo,Estado_CivTil,Num_Hijos,Propietario_Vivienda,"Compra Realizada",Fecha_Compra
45,42.0,44978.37001840189,F,Bachillerato,Divorciado,4,No,Sí,23 de January del 2017
46,31.0,43945.27305137005,F,Maestría,Casado,3,No,Sí,24 de July del 2016
47,26.0,35673.16130975971,,Universitario,Divorciado,1,No,Sí,17 de January del 2023
48,43.0,56353.98598390192,F,Bachillerato,,4,No,Sí,1 de February del 2021
49,19.0,80937.87378864718,M,Bachillerato,Casado,4,Sí,Sí,18 de February del 2019
50,37.0,,M,Universitario,Divorciado,3,Sí,No,
51,45.0,50363.29185009137,M,Universitario,Casado,1,Sí,No,16 de October del 2018
52,64.0,,M,Maestría,Soltero,2,No,No,8 de December del 2017
53,24.0,48805.37913131427,F,Universitario,Divorciado,3,No,Sí,10 de September del 2016
54,61.0,56785.57694374601,F,Maestríca,Soltero,4,Sí,Sí,14 de August del 2019
55,25.0,34064.0970777968,M,Bachillerato,Divorciado,4,Sí,Sí,
56,64.0,,M,Maestría,Divorciado,0,No,Sí,3 de August del 2015
57,52.0,nULL,M,Bachillerato,Soltero,1,No,Sí,Invalid Date
58,31.0,64785.94993519795,M,Universitario,Divorciado,0,Sí,No,16 de April del 2017
59,34.0,67810.79077347126,M,,DiBorciado,2,No,Sí,23 de December del 2017
60,53.0,88843.45463027922,F,Universitario,,3,Sí,No,1 de July del 2017
61,57.0,58694.497598203634,F,,Divorciado,4,No,Sí,29 de April del 2017
62,21.0,54886.944748732494,M,Bachillerato,Casado,1,Sí,No,26 de March del 2023
63,19.0,,M,Bachillerato,Divorciado,4,Sí,No,19 de January del 2023
64,23.0,Null,M,,Divorciado,0,No,No,1 de May del 2018
65,59.0,55077.25765192536,F,Maestría,Divorciado,0,Sí,No,20 de February del 2022
66,21.0,45568.97884791456,F,Bachillerato,Soltero,3,No,No,21 de October del 2023
67,46.0,52526.91464404421,F,Maestría,Casado,1,No,No,22 de March del 2021
68,35.0,69763.9630341194,M,Universitario,,1,No,No,24 de January del 2021
69,43.0,34901.86152080538,,Universitario,Divorciado,3,No,Sí,24 de October del 2015
70,61.0,67098.17841693568,n,Maestría,Soltero,0,No,Sí,10 de January del 2018
71,51.0,69756.72601009798,F,Universitario,Soltero,0,Sí,No,10 de December del 2023
72,27.0,48228.97209513382,n,Universitario,,0,No,Sí,24 de August del 2021
73,53.0,18172.17651487108,n,Bachillerato,Soltero,4,No,Sí,17 de September del 2022
74,31.0,40882.670193583515,M,Bachillerato,Divorciado,2,Sí,No,
75,48.0,69454.91819841664,M,Bachillerato,Divorciado,0,No,Sí,
76,32.0,,F,,Soltero,2,Sí,No,14 de July del 2017
77,25.0,35010.466515576336,n,Maestría,Divorciado,2,No,Sí,10 de April del 2017
78,31.0,42428.376181576736,M,Universitario,Casado,1,Sí,No,19 de July del 2022
79,40.0,62609.300397568295,M,Bachillerato,Divorciado,3,No,Sí,14 de June del 2016
80,57.0,58201.00352302069,M,Maestría,Soltero,4,No,No,Invalid Date
81,38.0,46416.01851245458,n,Maestría,Casado,2,No,Sí,
82,33.0,,M,Bachillerato,Divorciado,4,No,Sí,
83,62.0,44123.62776434267,M,Maestría,Casado,1,No,Sí,1 de April del 2023
84,35.0,36163.84723252246,F,Bachillerato,Soltero,0,Sí,No,Invalid Date
85,64.0,74230.63534204163,M,Universitario,Divorciado,2,Sí,No,Invalid Date
86,41.0,45165.192961829904,M,Universitario,,3,No,Sí,23 de February del 2019
87,43.0,68257.37781238244,F,Universitario,Casado,1,Sí,Sí,3 de May del 2019
88,42.0,72819.74077883677,F,Bachillerato,Divorciado,4,No,No,5 de June del 2018
89,62.0,64974.66347221941,F,Maestría,Divorciado,0,No,Sí,29 de October del 2021
90,58.0,43525.695309229275,F,Universitario,Divorciado,4,No,Sí,3 de October del 2023
91,46.0,56055.95135504914,M,Universitario,Divorciado,3,Sí,No,9 de September del 2022
92,32.0,49637.06590413626,F,Universitario,Soltero,2,No,No,26 de June del 2017
93,62.0,36444.47208904808,F,Maestría,Divorciado,3,Sí,Sí,10 de November del 2023
94,18.0,54865.389225824045,M,Maestría,Casado,4,No,No,27 de September del 2023
95,42.0,32314.40313260296,,Bachillerato,Soltero,4,No,Sí,Invalid Date
96,24.0,67815.19082692346,n,Universitario,Casado,3,Sí,Sí,6 de June del 2017
97,26.0,,F,Maestría,Casado,3,No,No,2 de August del 2022
98,41.0,53017.39483809259,M,Bachillerato,Casado,3,Sí,Sí,21 de July del 2016
99,18.0,54249.31807319213,F,Universitario,Soltero,0,No,No,
100,61.0,46116.42539443884,M,Maestría,Soltero,4,No,No,17 de September del 2015
101,25.0,,M,,Soltero,1,No,Sí,3 de January del 2021
102,41.0,42876.44515066213,F,Bachillerato,Divorciado,0,Sí,No,
103,28.0,63069.45946185866,M,Universitario,Casado,0,No,Sí,14 de October del 2017
104,34.0,29810.304796298773,n,Universitario,Soltero,0,Sí,No,16 de May del 2019
105,25.0,51895.693693196175,M,Maestría,Casado,1,No,Sí,11 de July del 2018
106,52.0,79083.93498587428,M,Universitario,Soltero,3,No,No,1 de April del 2022
107,52.0,34995.03013091638,M,Bachillerato,Soltero,4,Sí,Sí,20 de April del 2016
108,50.0,39833.82544212723,F,Maestría,,2,No,Sí,27 de July del 2020
109,22.0,57708.617744883726,F,Maestría,Casado,2,No,No,2 de May del 2015
110,59.0,52693.72672909397,M,Bachillerato,Divorciado,4,Sí,Sí,2 de January del 2022
111,56.0,55259.45148910339,F,Maestría,Soltero,1,Sí,Sí,Invalid Date
112,58.0,57337.80695221495,F,,Soltero,2,Sí,Sí,19 de March del 2023
113,45.0,59520.82202842655,F,Universitario,Soltero,0,No,Sí,29 de August del 2017
114,24.0,66645.49762934334,M,Maestría,Divorciado,2,Sí,Sí,30 de January del 2019
115,26.0,56147.279853927685,M,Bachillerato,Casado,4,Sí,Sí,
116,25.0,46381.13518072186,n,Bachillerato,Casado,0,No,No,24 de November del 2022
117,29.0,,F,Universitario,Casado,2,Sí,No,28 de June del 2016
118,51.0,78498.22902342823,n,Bachillerato,Casado,4,Sí,No,15 de April del 2020
119,50.0,48010.493804261394,M,Maestria,,1,No,No,1 de June del 2019
120,40.0,35382.06042994038,M,Maestría,Divorciado,4,Sí,Sí,22 de October del 2022
121,41.0,,F,Universitario,Soltero,1,No,Sí,11 de January del 2017
122,54.0,48194.282540696026,F,Universitario,Divorciado,0,Sí,No,
123,52.0,17409.95680978946,,,,4,Sí,Sí,6 de July del 2021
124,61.0,62711.325157256324,F,Bachillerato,Divorciado,3,No,No,28 de October del 2019
125,57.0,41970.07721069116,F,Maestría,Soltero,3,Sí,Sí,9 de January del 2022
126,39.0,48642.00076543759,F,Maestría,Soltero,3,No,Sí,
127,44.0,54979.70495853522,F,Maestría,Casado,3,Sí,No,23 de December del 2016
128,52.0,52857.495196685995,n,Universitario,,3,Sí,Sí,21 de October del 2023
129,18.0,60641.77725708559,n,Maestría,Soltero,1,No,No,30 de August del 2022
130,52.0,43467.70444145235,F,Bachillerato,Divorciado,4,No,No,29 de April del 2020
131,54.0,57696.58697264124,M,Bachillerato,Soltero,0,Sí,No,17 de May del 2015
132,64.0,,M,Maestría,Casado,3,Sí,Sí,11 de January del 2019
133,31.0,61082.157213312545,F,Universitario,Casado,3,Sí,Sí,29 de September del 2018
134,20.0,,F,,Soltero,0,No,No,15 de October del 2019
135,18.0,35968.41946933107,F,Bachillerato,Casado,0,??,not,7 de July del 2021
136,22.0,66289.73174262549,M,Bachillerato,Divorciado,3,Sí,No,30 de March del 2019
137,43.0,41960.54832328928,M,Bachillerato,Divorciado,1,Sí,No,
138,31.0,62120.86697421718,F,Maestría,Soltero,0,Sí,Sí,Invalid Date
139,56.0,,n,Bachillerato,Soltero,4,No,No,18 de October del 2020
140,44.0,77572.75515192683,F,Universitario,Divorciado,4,Sí,Sí,6 de June del 2018
141,26.0,46648.01026442222,F,Maestría,Casado,1,No,Sí,5 de February del 2015
142,32.0,44760.24805822704,F,Maestría,Soltero,2,No,Sí,1 de December del 2015
143,32.0,49708.70591168401,F,Bachillerato,Soltero,1,Sí,No,27 de November del 2019
144,43.0,45452.303257485866,F,Bachillerato,Casado,3,No,No,14 de April del 2016
145,59.0,61999.12852913075,F,Universitario,Soltero,2,No,Sí,10 de October del 2022
146,30.0,25755.34087345118,F,Maestría,Casado,3,Sí,Sí,Invalid Date
147,49.0,34194.76371280469,M,,Casado,4,Sí,No,9 de April del 2015
148,56.0,33982.9561763121,F,Universitario,,0,Sí,Sí,22 de July del 2017
149,49.0,64254.61387960364,n,Bachillerato,Casado,3,Sí,Sí,27 de December del 2023
150,21.0,75659.20058872888,F,Maestría,,4,Sí,No,22 de August del 2016
151,47.0,48433.261721937924,F,Bachillerato,Divorciado,1,Sí,No,17 de March del 2018
152,54.0,47467.67415214984,M,Maestría,Casado,3,Sí,No,11 de December del 2018
153,40.0,,M,Bachillerato,Divorciado,4,No,Sí,9 de July del 2016
154,56.0,67428.17453912286,F,Maestría,Casado,0,Sí,No,16 de March del 2019
155,62.0,36089.70298714139,M,Universitario,Soltero,3,Sí,No,28 de June del 2017
156,32.0,53575.53474102178,,,Divorciado,4,Sí,Not,30 de September del 2015
157,60.0,64627.96444673645,F,Universitario,Soltero,3,Sí,No,21 de June del 2016
158,46.0,,M,Maestría,Casado,0,Sí,No,29 de July del 2023
159,53.0,52843.724248981154,M,Universitario,Casado,3,Sí,No,10 de October del 2019
160,30.0,65015.69138850712,M,Bachillerato,Soltero,3,No,No,30 de October del 2017
161,49.0,9451.515605011446,M,Maestría,Casado,4,Sí,Sí,4 de August del 2020
162,24.0,60168.12979296361,F,Bachillerato,Soltero,2,No,No,29 de June del 2023
163,39.0,40188.864753088645,M,Universitario,Casado,3,Sí,Sí,22 de March del 2018
164,45.0,22540.506547153145,M,Maestría,Casado,2,No,Sí,21 de September del 2019
165,19.0,57668.03899287471,n,Maestría,Divorciado,1,No,No,
166,59.0,,M,Bachillerato,Soltero,3,No,Sí,11 de September del 2016
167,62.0,47938.27228058462,M,Maestría,Casado,2,Sí,No,4 de September del 2017
168,23.0,64293.118208044085,F,Maestría,Soltero,1,Sí,Sí,
169,45.0,74184.17386982968,F,Bachillerato,Divorciado,4,Sí,No,8 de December del 2021
170,45.0,69723.7168037607,M,Maestría,Soltero,3,Sí,Sí,21 de June del 2019
171,61.0,74599.46794057089,M,Bachillerato,Divorciado,4,Sí,No,27 de December del 2016
172,61.0,61131.91236607838,F,Bachillerato,Soltero,1,Sí,No,29 de May del 2020
173,37.0,,M,Bachillerato,,4,No,Sí,5 de May del 2015
174,47.0,25970.512821542474,F,Bachillerato,Divorciado,4,No,Sí,20 de November del 2018
175,28.0,46309.062678050774,F,Bachillerato,Casado,0,No,No,23 de August del 2016
176,45.0,,M,Universitario,Casado,1,Sí,Sí,9 de August del 2023
177,42.0,82564.1407624672,F,Universitario,Casado,4,Sí,No,4 de April del 2019
178,56.0,47361.712813514954,M,Bachillerato,Soltero,2,No,Sí,12 de March del 2016
179,50.0,51848.072101767284,M,Universitario,Soltero,1,Sí,No,28 de April del 2019
180,18.0,58272.280640607016,F,Universitario,Casado,0,Sí,Sí,19 de February del 2018
181,44.0,50654.03669558681,F,Maestría,Soltero,3,Sí,No,
182,30.0,75425.7656064613,M,Bachillerato,Soltero,4,No,Sí,16 de November del 2020
183,58.0,40660.25957398322,F,,Casado,2,No,No,20 de June del 2020
184,20.0,52919.11182855864,M,Maestría,Divorciado,0,Sí,Sí,15 de June del 2020
185,56.0,38862.94121452927,F,Maestría,Soltero,1,No,No,3 de January del 2015
186,23.0,30199.662331689415,F,Bachillerato,Soltero,4,No,Sí,3 de February del 2018
187,25.0,40823.46363642072,M,Bachillerato,Soltero,0,Sí,Sí,Invalid Date
188,44.0,49444.44804427382,M,Maestría,Soltero,0,Sí,No,10 de November del 2021
189,26.0,43560.4666322411,M,,,2,No,Sí,3 de March del 2021
190,54.0,39613.68530189216,n,Bachillerato,Casado,3,No,Sí,13 de June del 2017
191,50.0,28905.23804492249,M,Maestría,,3,Sí,No,20 de January del 2023
192,59.0,48753.41641056958,M,Maestría,Casado,3,Sí,No,8 de July del 2019
193,61.0,27429.194389534965,F,Bachillerato,Soltero,1,Sí,No,1 de January del 2018
194,41.0,61400.83945534404,F,Universitario,Divorciado,0,No,No,10 de January del 2023
195,32.0,51236.59629401755,M,Bachillerato,Casado,1,No,Sí,18 de August del 2015
196,49.0,28136.72750802604,M,Universitario,Divorciado,0,Sí,Sí,Invalid Date
197,49.0,45361.863844252046,M,,Soltero,2,Sí,Sí,22 de January del 2016
198,41.0,38717.65391614125,M,Universitario,Divorciado,2,Sí,No,15 de December del 2021
199,58.0,54787.61765628771,F,Maestría,Divorciado,1,Sí,Sí,13 de March del 2023
200,29.0,70106.75669034716,F,Bachillerato,Soltero,1,No,Sí,1 de June del 2021
201,56.0,21872.41295531383,n,Bachillerato,Soltero,2,Sí,No,10 de June del 2015
202,19.0,51725.39118721126,M,Maestría,Casado,4,Sí,Sí,2 de July del 2015
203,20.0,,n,Maestría,Soltero,3,No,Sí,3 de April del 2015
204,54.0,60070.101146756984,F,Maestría,Casado,3,Sí,No,26 de November del 2023
205,34.0,53197.94942356534,M,Bachillerato,Divorciado,2,No,Sí,27 de May del 2020
206,19.0,38720.460023917716,M,Bachillerato,Divorciado,3,No,No,9 de December del 2015
207,19.0,45214.19096500073,,Universitario,Casado,4,No,NOT,16 de March del 2020
208,45.0,38059.612147947664,F,,Soltero,4,Sí,Sí,
209,40.0,66140.10707897898,M,Universitario,Soltero,0,No,SIP,4 de April del 2020
210,54.0,,M,Bachillerato,Divorciado,1,Sí,Sí,11 de December del 2017
211,49.0,78517.86028629511,F,Universitario,Casado,3,No,No,
212,50.0,49090.08779278069,M,,Divorciado,4,No,No,25 de June del 2020
213,18.0,39373.898496343056,M,Bachillerato,DiNorciado,1,No,Sí,11 de May del 2017
214,36.0,27294.28411080759,F,Bachillerato,,1,Sí,Sí,Invalid Date
215,19.0,,F,Maestría,Casado,0,Sí,No,2 de April del 2016
216,61.0,26237.960854917652,F,Universitario,Divorciado,1,No,Sí,17 de June del 2020
217,43.0,54006.89976517225,n,,Soltero,1,Sí,Sí,24 de February del 2019
218,49.0,,F,Bachillerato,Divorciado,2,No,No,4 de June del 2020
219,23.0,26282.139469518,F,Universitario,,0,No,Sí,6 de January del 2016
220,49.0,63425.57471114173,M,,Soltero,0,No,Sí,11 de August del 2017
221,21.0,42754.08422474841,n,Maestría,Soltero,3,No,Sí,15 de December del 2017
222,28.0,52201.89517978324,F,Maestría,Casado,1,Sí,Sí,Invalid Date
223,34.0,74183.30942383136,F,Universitario,Divorciado,3,No,No,7 de November del 2015
224,55.0,63452.58973798298,M,Maestría,Casado,4,Sí,No,24 de April del 2018
225,41.0,45972.04028141251,M,Bachillerato,,1,No,No,13 de November del 2020
226,22.0,36632.11661877069,F,Bachillerato,Soltero,4,No,No,23 de February del 2023
227,51.0,17722.768980060428,F,Bachillerato,Divorciado,2,No,Sí,9 de January del 2023
228,23.0,39212.7002113637,M,Bachillerato,Casado,1,No,Sí,2 de January del 2020
229,39.0,46833.046417584585,F,Universitario,Casado,3,No,Sí,11 de January del 2023
230,28.0,35192.30709273224,M,,Divorciado,3,Sí,Sí,25 de March del 2016
231,33.0,48031.145493615426,F,Maestría,,1,Sí,No,25 de June del 2015
232,50.0,51152.77824438152,M,Bachillerato,Casado,3,No,Sí,6 de July del 2020
233,26.0,46627.16027287882,M,Universitario,,1,Sí,Sí,7 de September del 2021
234,23.0,40249.961287648104,F,Bachillerato,,0,Sí,No,13 de August del 2017
235,33.0,52529.82007950092,F,Bachillerato,Divorciado,3,No,No,29 de February del 2016
236,46.0,56629.109743541136,n,Universitario,Casado,1,No,No,18 de December del 2021
237,20.0,33644.01383835731,F,Universitario,Casado,1,No,Sí,
238,37.0,71163.98569619405,F,Bachillerato,Casado,3,No,No,27 de December del 2020
239,,48521.17801573608,F,Maestría,Soltero,0,Sí,Sí,2 de June del 2021
240,36.0,50282.744344172716,M,Bachillerato,Soltero,3,Sí,Sí,18 de August del 2023
241,43.0,60623.21634884836,F,Maestría,Casado,1,Sí,No,
242,20.0,,F,Maestría,Casado,0,Sí,No,Invalid Date
243,36.0,64297.04950869868,M,Universitario,Divorciado,4,No,No,25 de August del 2018
244,37.0,54306.86247802736,F,Universitario,Divorciado,2,No,Sí,16 de May del 2019
245,49.0,40813.43938039343,F,Bachillerato,Casado,3,No,Sí,28 de July del 2020
246,24.0,55422.55287809153,M,Maestría,Casado,1,No,Sí,14 de October del 2023
247,58.0,32844.10689019007,M,Maestría,,0,Sí,No,9 de February del 2021
248,50.0,,F,Bachillerato,,0,Sí,Sí,19 de May del 2019
249,57.0,49501.550140333085,F,Bachillerato,Divorciado,4,No,Sí,31 de May del 2017
250,56.0,46878.2471409119,M,Bachillerato,Soltero,3,Sí,Sí,11 de April del 2020
251,35.0,48071.93732841604,M,Universitario,Divorciado,0,Sí,Sí,3 de January del 2018
252,57.0,21772.264317535413,n,Bachillerato,Divorciado,4,No,No,Invalid Date
253,18.0,41769.12638388558,F,,Soltero,1,Sí,Sí,19 de January del 2020
254,28.0,51392.673517116724,F,Maestría,Divorciado,4,No,No,1 de March del 2016
255,45.0,52397.84587996101,M,Bachillerato,Casado,3,Sí,No,
256,42.0,34584.87288611063,F,Maestría,Divorciado,4,Sí,Sí,12 de October del 2015
257,40.0,68985.61761297051,M,Maestría,Soltero,0,No,Sí,18 de May del 2016
258,48.0,37007.377276782485,M,Universitario,,0,No,No,20 de June del 2016
259,47.0,64541.85800790105,n,,Soltero,2,No,Sí,30 de July del 2015
260,59.0,56407.91542807527,F,Bachillerato,Divorciado,4,Sí,No,Invalid Date
261,52.0,40306.59035234295,F,Maestría,Casado,1,No,Sí,8 de November del 2022
262,24.0,76629.66338914268,F,Universitario,,3,Sí,Sí,25 de February del 2017
263,33.0,32095.447523652798,M,,Casado,2,No,No,7 de August del 2023
264,43.0,63787.31260415002,n,Bachillerato,Soltero,4,Sí,Sí,9 de April del 2022
265,19.0,65008.734770644674,M,Maestría,Casado,1,No,No,Invalid Date
266,18.0,39940.69686385033,M,Bachillerato,Casado,2,No,No,30 de April del 2021
267,29.0,70886.97950096492,M,Bachillerato,Casado,0,Sí,Sí,26 de March del 2023
268,22.0,46249.302281015705,M,Bachillerato,Soltero,3,Sí,No,6 de September del 2023
269,54.0,,n,Bachillerato,Divorciado,4,No,Sí,27 de January del 2017
270,49.0,53904.82758156831,M,Maestría,Divorciado,1,Sí,Sí,6 de December del 2016
271,26.0,47985.368877941786,F,Universitario,Divorciado,0,No,Sí,Invalid Date
272,58.0,62162.124097396736,M,Bachillerato,Casado,2,Sí,No,24 de November del 2015
273,,61902.33080828319,F,Bachillerato,Soltero,3,Sí,Sí,8 de February del 2022
274,36.0,23772.02040142729,M,Bachillerato,Casado,2,No,Sí,Invalid Date
275,33.0,69565.10364317229,n,Bachillerato,,2,No,No,
276,20.0,,F,Universitario,Casado,1,Sí,No,14 de October del 2017
277,37.0,65488.19306512486,F,Universitario,Soltero,0,Sí,No,9 de February del 2018
278,41.0,,F,Universitario,Soltero,4,Sí,No,16 de May del 2020
279,50.0,33635.50354677203,M,Universitario,Soltero,1,Sí,Sí,6 de December del 2019
280,41.0,,M,Bachillerato,Casado,3,No,Sí,27 de August del 2017
281,28.0,33414.42997271096,M,Maestría,,2,No,Sí,Invalid Date
282,25.0,46776.18454566897,M,Universitario,Casado,3,Sí,Sí,19 de February del 2023
283,53.0,45379.48573721388,F,Universitario,Casado,1,No,No,5 de February del 2020
284,55.0,,F,Bachillerato,Soltero,1,Sí,No,
285,57.0,69654.63119179412,F,Bachillerato,Soltero,4,Sí,Sí,Invalid Date
286,37.0,70935.25716184934,M,Bachillerato,Divorciado,2,Sí,No,28 de February del 2021
287,52.0,41567.47960132547,F,Bachillerato,Divorciado,1,No,No,23 de July del 2020
288,42.0,,M,Maestría,Soltero,3,Sí,No,Invalid Date
289,52.0,24748.427116685747,F,,Divorciado,4,No,No,
290,42.0,37911.94900255717,F,Universitario,Divorciado,3,No,No,24 de July del 2015
291,46.0,64472.77449646186,F,Maestría,Soltero,2,Sí,Sí,
292,35.0,74233.74235322347,F,,Casado,4,No,Sí,
293,63.0,31484.76692180117,F,Universitario,Divorciado,4,Sí,No,13 de September del 2017
294,35.0,41113.036112706584,M,Maestría,Soltero,4,Sí,No,12 de March del 2018
295,19.0,49603.91364561609,F,Universitario,Divorciado,0,No,Sí,28 de March del 2022
296,52.0,54202.4173822941,M,Bachillerato,Divorciado,4,Sí,Sí,10 de March del 2023
297,33.0,37855.94720117531,M,Universitario,Soltero,3,No,No,18 de November del 2018
298,58.0,56360.915666961344,M,Bachillerato,Divorciado,3,No,No,6 de February del 2015
299,53.0,42892.409793936255,M,Maestría,Divorciado,2,No,No,16 de March del 2022
300,50.0,49783.215936825814,M,Maestría,Divorciado,1,Sí,Sí,4 de February del 2021
301,21.0,58194.26372005549,M,Universitario,Casado,1,No,No,20 de July del 2017
302,50.0,50096.33404716407,M,Bachillerato,,0,Sí,No,15 de June del 2020
303,31.0,43454.21164210147,M,Universitario,Divorciado,4,Sí,No,11 de August del 2023
304,38.0,48355.852941112535,F,Maestría,Soltero,0,No,No,7 de March del 2017
305,37.0,48674.55561191997,F,Universitario,Divorciado,2,No,No,28 de April del 2022
306,25.0,44449.83455176809,M,Universitario,,2,Sí,No,29 de May del 2020
307,24.0,46118.059059993466,M,Bachillerato,,1,No,No,6 de July del 2023
308,20.0,73979.70755757076,M,Maestría,Casado,2,No,No,10 de October del 2016
309,34.0,58413.791719118584,n,Universitario,Casado,4,No,Sí,4 de February del 2023
310,50.0,45567.795229562595,F,,Divorciado,3,Sí,Sí,16 de April del 2016
311,29.0,60454.316067661035,M,Universitario,,2,No,Sí,11 de September del 2018
312,39.0,44992.70765365985,n,Bachillerato,Soltero,0,Sí,No,1 de May del 2015
313,39.0,67596.86956379961,F,Bachillerato,Divorciado,4,Sí,Sí,29 de February del 2020
314,63.0,55544.63288297141,F,Universitario,Divorciado,2,No,Sí,16 de February del 2015
315,47.0,,M,Maestría,Casado,2,No,Sí,8 de October del 2021
316,55.0,56715.75388715416,M,,Casado,4,Sí,Sí,21 de April del 2015
317,55.0,26436.85771897251,M,Bachillerato,Casado,2,Sí,Sí,15 de May del 2015
318,62.0,33098.48796635292,M,Maestría,Casado,3,No,No,Invalid Date
319,25.0,32091.12490401417,F,Bachillerato,Casado,1,Sí,Sí,24 de February del 2021
320,44.0,52144.1464214556,F,,Soltero,4,No,No,7 de July del 2019
321,44.0,75987.72499227637,M,Universitario,Soltero,0,Sí,No,25 de August del 2021
322,51.0,83469.50219288949,M,Maestría,Soltero,2,No,Sí,18 de November del 2016
323,38.0,59570.76652161136,M,Bachillerato,Casado,1,Sí,No,30 de October del 2020
324,47.0,,F,Bachillerato,Casado,0,No,Sí,7 de February del 2016
325,50.0,22984.133987708916,M,Maestría,Casado,0,No,No,Invalid Date
326,45.0,41859.89300398967,n,Universitario,Soltero,3,Sí,No,8 de October del 2021
327,64.0,38183.24372137642,M,Bachillerato,Casado,1,No,Sí,19 de October del 2021
328,50.0,40687.28602623326,F,Bachillerato,Soltero,4,Sí,No,5 de February del 2021
329,22.0,,M,Bachillerato,Casado,1,Sí,No,4 de January del 2019
330,36.0,42918.64133454309,F,Bachillerato,Divorciado,1,Sí,No,20 de November del 2021
331,21.0,20310.502844363185,M,Bachillerato,,0,Sí,No,25 de January del 2017
332,52.0,61218.65384176301,M,Universitario,Divorciado,3,No,No,9 de November del 2017
333,34.0,33908.854613902906,M,Maestría,Soltero,3,Sí,No,7 de November del 2017
334,61.0,53588.702961667244,F,Universitario,Casado,1,Sí,No,27 de October del 2023
335,45.0,81111.2400462496,M,Universitario,Casado,1,Sí,No,Invalid Date
